"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Electric Revelation","R","C","55658","29.2%","53.3%","11016","51.9%"
"Seize the Storm","R","U","48034","55.2%","53.3%","9869","49.9%"
"Willow Geist","G","R","8851","43.7%","53.2%","1632","54.5%"
"Mysterious Tome","U","U","34155","46.9%","53.2%","6050","49.9%"
"Blood Pact","B","C","40278","23.9%","53.2%","7070","50.2%"
"Hostile Hostel","","M","7768","70.6%","53.1%","1251","47.8%"
"Hungry for More","BR","U","23390","37.7%","53.1%","4930","49.8%"
"Bladebrand","B","C","44594","25.2%","53.1%","7910","49.9%"
"Curse of Surveillance","U","R","20301","63.6%","53.0%","3453","51.7%"
"Storm the Festival","G","R","10071","53.1%","52.9%","1581","52.6%"
"Abandon the Post","R","C","30578","16.6%","52.9%","4976","49.9%"
"Raze the Effigy","R","C","19811","12.7%","52.9%","3568","49.2%"
"Spellrune Painter","R","U","44342","74.3%","52.9%","8932","54.0%"
"Lambholt Harrier","R","C","64348","41.5%","52.8%","14621","52.4%"
"Sigarda's Splendor","W","R","12408","56.2%","52.8%","2053","49.5%"
"Bramble Armor","G","C","8584","5.5%","52.7%","1474","47.8%"
"Ardent Elementalist","R","C","83176","48.2%","52.7%","17606","49.4%"
"Tireless Hauler","G","C","59763","42.5%","52.6%","10977","50.4%"
"Brimstone Vandal","R","C","49021","34.9%","52.5%","10694","51.9%"
"Immolation","R","C","56363","35.7%","52.5%","11880","52.5%"
"Storm Skreelix","UR","U","26048","36.3%","52.5%","5109","51.3%"
"Arlinn, the Pack's Hope","RG","M","8569","69.4%","52.5%","1448","54.2%"
"Galvanic Iteration","UR","R","7136","27.8%","52.4%","1162","50.0%"
"Howl of the Hunt","G","C","26336","18.5%","52.4%","4734","51.2%"
"Diregraf Rebirth","BG","U","26099","36.2%","52.4%","4468","50.1%"
"Snarling Wolf","G","C","31050","21.6%","52.1%","6451","53.2%"
"Purifying Dragon","R","U","34571","70.0%","52.1%","5977","52.5%"
"Arcane Infusion","UR","U","16596","21.3%","52.1%","3334","49.6%"
"Tovolar, Dire Overlord","RG","R","12228","58.7%","52.0%","2247","57.1%"
"Mounted Dreadknight","R","C","38817","27.3%","52.0%","6768","51.8%"
"Cathar's Call","W","U","12563","32.3%","52.0%","2203","49.2%"
"Rockfall Vale","","R","5809","30.8%","52.0%","1139","54.6%"
"Grizzly Ghoul","BG","U","21093","36.3%","51.9%","4266","50.7%"
"Hedgewitch's Mask","W","C","7511","4.6%","51.9%","1204","46.9%"
"Ghoulish Procession","B","U","28090","60.2%","51.8%","5182","48.9%"
"Kessig Naturalist","RG","U","18350","41.7%","51.8%","4232","57.3%"
"Heirloom Mirror","B","U","18762","34.8%","51.8%","3449","49.8%"
"Harvesttide Infiltrator","R","C","46645","38.4%","51.8%","10253","50.7%"
"Crossroads Candleguide","","C","22534","11.2%","51.7%","3996","49.3%"
"Bounding Wolf","G","C","40657","27.6%","51.7%","8259","50.1%"
"Haunted Ridge","","R","6906","36.4%","51.5%","1328","53.3%"
"Pack's Betrayal","R","C","14874","10.2%","51.3%","2562","48.8%"
"Component Collector","U","C","26545","13.6%","51.2%","5080","48.5%"
"Vadrik, Astral Archmage","UR","R","10822","42.8%","50.6%","1906","49.3%"
"Path to the Festival","G","C","34045","20.5%","50.6%","6849","47.8%"
"Geistflame Reservoir","R","R","13729","56.1%","50.5%","2442","47.5%"
"Tavern Ruffian","R","C","30702","24.5%","50.2%","6202","48.1%"
"Village Watch","R","U","18267","42.5%","50.0%","3049","46.7%"
"Old Stickfingers","BG","R","6970","35.0%","49.8%","1156","48.2%"
"Stuffed Bear","","C","3474","2.5%","49.6%","665","45.9%"
"Wake to Slaughter","BR","R","4127","20.1%","49.5%","626","43.0%"
"Thraben Exorcism","W","C","1914","1.1%","49.4%","290",""
"Unnatural Moonrise","RG","U","11002","21.4%","49.2%","2043","46.1%"
"Plummet","G","C","2309","1.4%","49.1%","345",""
"Mystic Skull","","U","8547","15.8%","48.7%","1563","46.6%"
"Necrosynthesis","B","U","5713","13.0%","48.3%","998","42.5%"
