"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Seeker of Insight","U","C","6312","32.4%","57.3%","1279","57.1%"
"Sweltering Suns","R","R","1892","76.0%","57.3%","336",""
"Hieroglyphic Illumination","U","C","15397","73.1%","57.2%","3335","56.3%"
"Perilous Vault","","R","1052","59.0%","57.2%","181",""
"Crocodile of the Crossing","G","U","6008","83.8%","57.2%","1155","59.8%"
"Cartouche of Knowledge","U","C","14862","72.0%","57.2%","3164","57.0%"
"Fervent Paincaster","R","U","8186","82.8%","57.2%","1610","57.0%"
"Gilded Cerodon","R","C","9932","47.0%","57.2%","1821","57.2%"
"The Locust God","UR","M","1356","87.4%","57.2%","220",""
"Ominous Sphinx","U","U","7787","83.6%","57.1%","1478","56.0%"
"Resilient Khenra","G","R","2087","80.6%","57.1%","372",""
"Zealot of the God-Pharaoh","R","C","10264","60.6%","57.1%","1899","57.2%"
"Trial of Solidarity","W","U","7675","77.6%","57.0%","1379","56.1%"
"Pathmaker Initiate","R","C","13126","58.0%","57.0%","2800","55.8%"
"Hapatra, Vizier of Poisons","BG","R","1385","68.0%","57.0%","264",""
"Blur of Blades","R","C","8305","45.3%","56.9%","1615","56.8%"
"Trial of Ambition","B","U","6153","79.9%","56.9%","1184","61.0%"
"Mouth // Feed","G","R","2090","84.8%","56.9%","346",""
"Bontu's Last Reckoning","B","R","1691","69.2%","56.9%","281",""
"Wall of Forgotten Pharaohs","","C","14826","63.0%","56.9%","3382","58.3%"
"Evolving Wilds","","C","21733","87.2%","56.9%","4478","58.1%"
"Sandwurm Convergence","G","R","2195","84.6%","56.9%","379",""
"Mighty Leap","W","C","5471","32.9%","56.8%","906","52.2%"
"Start // Finish","WB","U","5037","62.4%","56.8%","1017","58.6%"
"Sifter Wurm","G","U","6238","81.2%","56.8%","1024","58.0%"
"Bloodlust Inciter","R","C","5674","34.3%","56.8%","1091","58.8%"
"Shimmerscale Drake","U","C","15822","74.8%","56.8%","3604","55.9%"
"Aven Initiate","U","C","15151","72.7%","56.7%","3337","55.9%"
"Tah-Crop Elite","W","C","16732","80.4%","56.7%","3578","54.4%"
"Hornet Queen","G","M","1148","83.2%","56.7%","188",""
"Khenra Charioteer","RG","U","3404","55.1%","56.7%","691","56.4%"
"Striped Riverwinder","U","C","13444","68.3%","56.7%","2874","56.0%"
"Scattered Groves","","R","1417","66.7%","56.6%","261",""
"Anointer Priest","W","C","7488","48.5%","56.6%","1582","55.8%"
"Rhonas's Stalwart","G","C","14852","72.7%","56.6%","3703","58.7%"
"Cartouche of Strength","G","C","17212","81.6%","56.6%","3951","57.1%"
"Crested Sunmare","W","M","1047","82.6%","56.5%","161",""
"Trial of Strength","G","U","6472","77.8%","56.5%","1372","57.1%"
"Vizier of Remedies","W","U","3423","49.7%","56.5%","646","56.8%"
"Impeccable Timing","W","C","9809","60.8%","56.5%","1939","57.7%"
"Sphinx's Revelation","WU","M","664","54.6%","56.5%","115",""
"Sunset Pyramid","","U","7004","78.1%","56.5%","1310","56.9%"
"Splendid Agony","B","C","17274","75.7%","56.4%","3814","57.3%"
"Cartouche of Ambition","B","C","17199","79.0%","56.4%","3717","57.7%"
"Collected Company","G","R","981","62.1%","56.4%","174",""
"Cartouche of Zeal","R","C","12358","60.1%","56.4%","2494","53.8%"
"Binding Mummy","W","C","11641","66.6%","56.3%","2936","57.7%"
"Pact of Negation","U","R","710","35.4%","56.3%","115",""
"Eternal of Harsh Truths","U","U","5099","75.7%","56.3%","953","56.3%"
"Hashep Oasis","","U","6044","78.2%","56.3%","1136","57.4%"
"Baleful Ammit","B","U","6437","85.0%","56.3%","1258","58.6%"
"Exemplar of Strength","G","U","6485","83.5%","56.3%","1301","58.6%"
"Desert of the Glorified","","C","18617","77.6%","56.2%","4318","56.1%"
"Compelling Argument","U","C","2529","17.1%","56.2%","547","54.7%"
"Supply Caravan","W","C","4488","27.2%","56.2%","805","53.7%"
"Countervailing Winds","U","C","7249","41.2%","56.2%","1414","54.2%"
"Spellweaver Eternal","U","C","10916","61.3%","56.2%","2492","54.8%"
"Vile Manifestation","B","U","5185","68.0%","56.1%","1068","58.0%"
"Hour of Revelation","W","R","1096","54.7%","56.1%","192",""
"Desert of the Indomitable","","C","17384","75.8%","56.0%","4142","54.9%"
"Combat Celebrant","R","M","916","80.7%","56.0%","183",""
"Pride Sovereign","G","R","2017","75.3%","56.0%","342",""
"Hour of Promise","G","R","1208","55.3%","56.0%","201",""
"Overwhelming Splendor","W","M","540","63.1%","55.9%","108",""
"Rags // Riches","UB","R","1681","62.9%","55.9%","274",""
"Samut, the Tested","RG","M","832","74.6%","55.9%","141",""
"Edifice of Authority","","U","10357","88.4%","55.8%","1971","53.6%"
"Riddleform","U","U","3875","53.7%","55.8%","826","57.5%"
"Strategic Planning","U","C","3790","22.6%","55.8%","730","54.5%"
"Lord of the Accursed","B","U","5068","79.6%","55.8%","1052","59.9%"
"River Hoopoe","UG","U","4158","52.2%","55.8%","865","56.3%"
