"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Culvert Ambusher","G","U","75228","73.2%","54.2%","12751","52.1%"
"Bolrac-Clan Basher","R","U","74673","80.2%","54.2%","12540","53.3%"
"Eliminate the Impossible","U","U","72775","61.1%","54.1%","11923","52.1%"
"Case of the Stashed Skeleton","B","R","34705","82.7%","54.1%","6213","59.7%"
"Long Goodbye","B","U","83732","86.4%","54.1%","14659","55.5%"
"Shadowy Backstreet","","R","29340","72.2%","54.1%","5437","57.2%"
"Hotshot Investigators","U","C","89542","34.2%","54.0%","13375","52.9%"
"Absolving Lammasu","W","U","30778","38.8%","54.0%","4685","52.6%"
"Unscrupulous Agent","B","C","167074","73.1%","54.0%","29519","55.4%"
"Defenestrated Phantom","W","C","79428","35.3%","54.0%","13027","51.4%"
"Crimestopper Sprite","U","C","200630","77.6%","54.0%","33729","51.8%"
"Yarus, Roar of the Old Gods","RG","R","38829","82.1%","53.9%","6556","57.6%"
"Leering Onlooker","B","U","82468","85.9%","53.9%","14727","55.1%"
"Forensic Researcher","U","U","79830","70.7%","53.9%","13784","53.4%"
"Undercover Crocodelf","UG","C","182169","66.5%","53.9%","30818","52.8%"
"Consign // Oblivion","UB","U","4401","50.8%","53.9%","807","53.9%"
"Etrata, Deadly Fugitive","UB","M","17400","76.3%","53.9%","2951","58.5%"
"Scene of the Crime","","U","83364","77.4%","53.9%","14814","53.6%"
"Krosan Tusker","G","C","6833","77.4%","53.9%","1228","53.0%"
"Mentor of the Meek","W","U","8668","92.5%","53.8%","1595","52.4%"
"Wispdrinker Vampire","WB","U","59046","65.9%","53.8%","9719","53.9%"
"Case of the Trampled Garden","G","U","63996","72.5%","53.8%","10468","53.3%"
"Treacherous Terrain","RG","U","4249","50.3%","53.8%","776","50.9%"
"Blood Spatter Analysis","BR","R","22170","56.9%","53.8%","3842","56.6%"
"They Went This Way","G","C","123470","48.3%","53.7%","21486","54.2%"
"Due Diligence","W","C","75596","32.1%","53.7%","11694","51.7%"
"Riftburst Hellion","RG","C","153563","58.6%","53.7%","25688","52.1%"
"Sample Collector","G","U","77178","76.4%","53.7%","13223","52.7%"
"Bubble Smuggler","U","C","141514","52.5%","53.6%","24908","52.6%"
"Griffnaut Tracker","W","C","111060","50.6%","53.6%","17826","51.1%"
"Massacre Girl, Known Killer","B","M","17893","85.2%","53.6%","3097","56.4%"
"Kylox's Voltstrider","UR","M","13028","60.7%","53.6%","2132","52.9%"
"Hedge Whisperer","G","U","67165","62.0%","53.5%","11682","53.0%"
"Dramatic Accusation","U","C","162658","67.3%","53.5%","26690","51.1%"
"Furtive Courier","U","U","68709","68.6%","53.5%","11786","53.5%"
"Delney, Streetwise Lookout","W","M","16971","85.3%","53.5%","2937","52.3%"
"Tin Street Gossip","RG","U","54019","56.3%","53.5%","9104","54.3%"
"Snarling Gorehound","B","C","139892","61.6%","53.4%","24532","56.9%"
"Lazav, Wearer of Faces","UB","R","31549","71.8%","53.4%","5440","58.6%"
"Rune-Brand Juggler","BR","U","42841","48.0%","53.4%","7441","55.7%"
"Airtight Alibi","G","C","66298","26.6%","53.4%","10313","52.1%"
"Murder","B","C","151567","81.9%","53.4%","25085","52.5%"
"Gravestone Strider","","C","187206","62.0%","53.4%","34507","53.3%"
"Concealed Weapon","R","U","61530","62.6%","53.3%","10519","50.4%"
"Faerie Snoop","UB","C","158937","62.0%","53.3%","27364","51.7%"
"Undercity Eliminator","B","U","71416","79.9%","53.3%","11116","51.1%"
"Anzrag, the Quake-Mole","RG","M","17076","78.6%","53.3%","3000","56.3%"
"Burden of Proof","U","U","43802","48.9%","53.3%","7005","51.7%"
"Sudden Setback","U","U","35014","34.5%","53.3%","5390","51.6%"
"Forum Familiar","W","U","44091","51.1%","53.2%","7383","50.1%"
"Undercity Sewers","","R","30983","72.8%","53.2%","5856","55.3%"
"Jaded Analyst","U","C","123840","46.4%","53.2%","21700","52.8%"
"Gearbane Orangutan","R","C","124178","56.2%","53.2%","20497","51.9%"
"Soul Enervation","B","U","68231","79.3%","53.1%","11189","51.3%"
"Hustle // Bustle","URG","U","43063","40.8%","53.1%","6433","49.3%"
"Branch of Vitu-Ghazi","","U","57837","56.7%","53.1%","9542","50.5%"
"Raucous Theater","","R","26772","67.4%","53.1%","4917","56.5%"
"Wrench","W","U","21464","25.0%","53.1%","3578","50.4%"
"Thinking Cap","","C","74085","30.7%","53.0%","12585","50.4%"
"Toxin Analysis","B","C","82529","36.7%","53.0%","13217","52.1%"
"Case of the Filched Falcon","U","U","63123","62.7%","53.0%","11211","52.7%"
"Sanctuary Wall","W","U","21742","25.5%","53.0%","3803","50.1%"
"Essence of Antiquity","W","U","26859","32.7%","53.0%","4494","50.6%"
"Alley Assailant","B","C","91742","44.1%","53.0%","15667","51.4%"
"Aftermath Analyst","G","U","67333","58.7%","53.0%","11968","53.4%"
"Cease // Desist","WBG","U","26369","27.5%","53.0%","4531","52.3%"
"Harried Dronesmith","R","U","74297","83.3%","53.0%","12394","51.5%"
"Clandestine Meddler","B","U","50935","66.0%","53.0%","8701","52.3%"
"Syr Konrad, the Grim","B","U","6953","84.9%","53.0%","1114","51.5%"
"Slimy Dualleech","B","U","53837","63.7%","52.9%","8937","52.8%"
"Slice from the Shadows","B","C","156597","78.5%","52.9%","26217","52.0%"
"Jace, Wielder of Mysteries","U","R","2411","70.3%","52.9%","383",""
"Pompous Gadabout","G","U","35884","40.8%","52.9%","6236","52.7%"
"Audience with Trostani","G","R","5706","15.2%","52.8%","1001","49.5%"
"Deadly Complication","BR","U","46061","56.3%","52.8%","7599","52.9%"
"No Witnesses","W","R","29165","74.8%","52.7%","4928","51.3%"
"Rubblebelt Braggart","R","C","47371","20.8%","52.7%","7157","51.5%"
"Lumbering Laundry","","U","9616","10.3%","52.7%","1653","49.2%"
