"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Choking Miasma","B","U","60818","60.2%","54.7%","10390","53.4%"
"Yotia Declares War","R","U","5284","5.7%","54.7%","972","53.6%"
"Hero's Heirloom","","U","18867","23.2%","54.7%","3178","52.2%"
"Coalition Skyknight","W","U","34498","49.4%","54.6%","5805","51.5%"
"Deathbloom Gardener","G","C","177284","74.9%","54.6%","31681","54.1%"
"Pilfer","B","U","34461","36.7%","54.6%","6069","55.3%"
"Negate","U","C","55308","19.1%","54.6%","9296","52.9%"
"Jaya's Firenado","R","C","90756","37.9%","54.5%","15013","51.4%"
"Najal, the Storm Runner","UR","U","68667","60.4%","54.5%","11497","51.5%"
"Writhing Necromass","B","C","225337","71.4%","54.5%","37685","51.4%"
"Tura Kennerüd, Skyknight","WU","U","60694","62.0%","54.5%","10051","52.2%"
"Karn, Living Legacy","","M","15026","78.2%","54.5%","2552","52.8%"
"Ajani, Sleeper Agent","WG","M","15056","81.3%","54.5%","2606","54.5%"
"Elvish Hydromancer","G","U","74308","71.1%","54.5%","12671","51.8%"
"The Raven Man","B","R","26983","84.8%","54.4%","4814","55.2%"
"Linebreaker Baloth","G","U","66282","75.9%","54.3%","11006","51.6%"
"Meteorite","","C","34408","12.0%","54.3%","5926","51.7%"
"Jodah's Codex","","U","79536","66.9%","54.2%","13269","51.9%"
"Relic of Legends","","U","40694","43.9%","54.2%","7507","54.7%"
"Toxic Abomination","B","C","55976","21.9%","54.1%","10072","54.8%"
"Elfhame Wurm","G","C","135149","57.7%","54.1%","22560","52.3%"
"Queen Allenal of Ruadach","WG","U","44712","56.3%","54.1%","7662","52.7%"
"Sengir Connoisseur","B","U","52013","74.9%","54.1%","8593","51.8%"
"Hexbane Tortoise","G","C","45242","19.7%","54.0%","7907","53.2%"
"Lagomos, Hand of Hatred","BR","U","56088","66.0%","54.0%","9707","56.0%"
"Impede Momentum","U","C","88402","32.6%","54.0%","15313","50.0%"
"Urborg Lhurgoyf","G","R","23982","74.9%","54.0%","4249","52.4%"
"Battle-Rage Blessing","B","C","68755","28.7%","54.0%","11381","51.5%"
"Scout the Wilderness","G","C","141959","54.7%","53.9%","25464","52.3%"
"Zar Ojanen, Scion of Efrava","WG","U","65290","75.6%","53.9%","10944","50.5%"
"Monstrous War-Leech","B","U","62837","51.8%","53.9%","10616","52.0%"
"Thran Portal","","R","15809","58.8%","53.8%","2912","52.2%"
"Meria, Scholar of Antiquity","RG","R","5067","16.8%","53.7%","899","54.3%"
"Volshe Tideturner","U","C","63912","21.2%","53.7%","11411","53.2%"
"Shalai's Acolyte","W","U","45653","62.3%","53.7%","7606","50.4%"
"Golden Argosy","","R","24710","65.0%","53.7%","4099","51.9%"
"Threats Undetected","G","R","12995","44.7%","53.7%","2228","52.0%"
"Snarespinner","G","C","52818","22.7%","53.6%","9450","52.0%"
"In Thrall to the Pit","R","C","46797","17.7%","53.5%","7770","51.0%"
"Rivaz of the Claw","BR","R","8814","32.4%","53.5%","1535","54.5%"
"Slimefoot's Survey","G","U","24835","28.0%","53.4%","4151","51.0%"
"Aggressive Sabotage","B","C","37347","14.7%","53.4%","6356","53.0%"
"Stenn, Paranoid Partisan","WU","R","10389","34.2%","53.4%","1798","54.3%"
"Jhoira, Ageless Innovator","UR","R","4423","12.6%","53.4%","790","52.4%"
"Rona, Sheoldred's Faithful","UB","U","49651","47.7%","53.3%","8330","51.4%"
"Plaza of Heroes","","R","10176","36.7%","53.3%","1759","52.4%"
"Garna, Bloodfist of Keld","BR","U","45930","57.0%","53.3%","7678","51.5%"
"Balduvian Atrocity","B","U","47069","52.2%","53.2%","8160","51.0%"
"Voda Sea Scavenger","U","C","70876","25.2%","53.2%","12400","52.6%"
"Inscribed Tablet","","U","20219","21.6%","53.2%","3865","50.9%"
"Djinn of the Fountain","U","U","57535","62.4%","53.1%","9619","50.4%"
"Ratadrabik of Urborg","WB","R","14137","53.7%","53.1%","2377","50.9%"
"Rundvelt Hordemaster","R","R","1816","6.2%","52.9%","336",""
"Llanowar Stalker","G","C","17333","7.6%","52.9%","3106","52.3%"
"Zur, Eternal Schemer","WUB","M","1150","9.4%","52.9%","216",""
"Tattered Apparition","B","C","43794","19.6%","52.9%","7396","49.6%"
"Barkweave Crusher","G","C","31759","13.2%","52.8%","5261","50.4%"
"Academy Loremaster","U","R","8639","24.9%","52.7%","1436","54.0%"
"Founding the Third Path","U","U","16015","16.4%","52.6%","2774","46.5%"
"Tidepool Turtle","U","C","21039","7.2%","52.2%","3563","50.2%"
"Sheoldred's Restoration","B","U","18455","23.7%","52.1%","3101","46.1%"
"Weatherlight Compleated","","M","8233","69.7%","52.0%","1542","49.7%"
"Jodah, the Unifier","WUBRG","M","6898","42.4%","52.0%","1170","50.7%"
"Combat Research","U","U","20766","27.2%","51.9%","3420","52.2%"
"Stronghold Arena","B","R","12867","49.4%","51.9%","2232","49.4%"
"Smash to Dust","R","C","12352","5.0%","51.7%","2068","48.7%"
"Broken Wings","G","C","15840","6.8%","51.6%","2680","48.2%"
"Temporary Lockdown","W","R","3353","15.1%","50.9%","567","45.0%"
"The World Spell","G","M","3049","25.7%","50.7%","515","44.9%"
"Leaf-Crowned Visionary","G","R","4974","19.1%","50.6%","869","50.5%"
"Vesuvan Duplimancy","U","M","8090","45.1%","50.4%","1411","47.9%"
"The Phasing of Zhalfir","U","R","5783","20.9%","50.4%","937","43.3%"
"Timeless Lotus","","M","4536","29.9%","50.1%","772","48.2%"
"Vodalian Hexcatcher","U","R","2628","8.8%","49.0%","458",""
"Chaotic Transformation","R","R","563","1.6%","43.5%","77",""
"Urza Assembles the Titans","W","R","114","0.3%","","14",""
