"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Eriette of the Charmed Apple","WB","M","13585","65.6%","52.9%","2257","54.5%"
"Vantress Transmuter","U","C","154415","54.7%","52.9%","26399","50.6%"
"Unruly Catapult","R","C","124570","37.7%","52.8%","21065","51.6%"
"Season of Growth","G","U","33877","27.5%","52.7%","5914","51.5%"
"Cruel Somnophage","B","R","31277","76.2%","52.6%","5298","49.2%"
"Unnatural Growth","G","R","10445","60.0%","52.6%","1605","50.8%"
"Charmed Clothier","W","C","110805","42.1%","52.6%","16843","51.4%"
"Frostbridge Guard","W","C","104080","39.8%","52.6%","18224","52.6%"
"Tempest Hart","G","U","51880","42.1%","52.6%","8739","51.8%"
"Collector's Vault","","U","68378","49.5%","52.5%","12565","51.3%"
"Farsight Ritual","U","R","29017","64.8%","52.5%","4729","51.0%"
"Tuinvale Guide","W","C","69858","26.1%","52.4%","11214","50.9%"
"Night of the Sweets' Revenge","G","U","37539","31.9%","52.3%","5994","50.2%"
"Misleading Motes","U","C","49775","15.5%","52.3%","7871","49.3%"
"Raid Bombardment","R","U","27441","23.3%","52.3%","4373","46.6%"
"Kindled Heroism","R","C","15998","5.4%","52.3%","2439","51.9%"
"Slumbering Keepguard","W","C","70865","27.8%","52.3%","12447","53.4%"
"Icewrought Sentry","U","U","53629","55.2%","52.2%","9383","52.0%"
"Obyra's Attendants","U","C","160037","54.0%","52.1%","26211","49.8%"
"Likeness Looter","UB","R","21169","52.3%","52.1%","3542","52.1%"
"Living Lectern","U","C","68732","22.3%","52.1%","12048","51.1%"
"Garruk's Uprising","G","U","34733","30.9%","52.0%","5715","48.0%"
"Mocking Sprite","U","C","133505","52.1%","52.0%","22949","51.5%"
"Thunderous Debut","G","R","4796","14.0%","51.9%","701","50.8%"
"Beluna Grandsquall","URG","M","8267","39.1%","51.9%","1354","52.2%"
"Skybeast Tracker","G","C","47313","16.8%","51.9%","7627","49.9%"
"Knightly Valor","W","U","60835","52.6%","51.8%","9250","50.4%"
"Ashiok's Reaper","B","U","47019","45.4%","51.8%","7499","48.8%"
"Impact Tremors","R","U","26753","26.5%","51.7%","4740","47.4%"
"Dutiful Griffin","W","U","41477","41.5%","51.7%","6516","48.3%"
"Dark Tutelage","B","U","12004","8.9%","51.7%","2030","48.0%"
"Disdainful Stroke","U","U","33211","27.1%","51.6%","5342","49.8%"
"Bestial Bloodline","G","C","38337","14.7%","51.6%","6135","50.8%"
"Merfolk Coralsmith","U","C","20762","7.0%","51.6%","3623","50.9%"
"Troyan, Gutsy Explorer","UG","U","56053","43.8%","51.6%","9633","51.4%"
"Curiosity","U","U","54495","47.1%","51.6%","8851","51.8%"
"Discerning Financier","W","U","43255","46.3%","51.5%","7529","51.0%"
"Stormkeld Prowler","U","C","46047","16.1%","51.4%","7942","51.2%"
"Snaremaster Sprite","U","C","118290","45.1%","51.4%","20544","51.6%"
"Splashy Spellcaster","U","U","60049","53.6%","51.4%","9956","50.3%"
"Protective Parents","W","C","70533","28.1%","51.4%","11845","50.8%"
"Grave Pact","B","M","5382","66.1%","51.3%","868","46.3%"
"Rimefur Reindeer","W","C","57676","24.1%","51.3%","9128","50.1%"
"Blind Obedience","W","R","9817","60.2%","51.3%","1733","49.1%"
"The Apprentice's Folly","UR","R","14392","28.5%","51.3%","2197","48.8%"
