"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Porcelain Zealot","W","U","81791","80.5%","55.3%","13350","54.9%"
"Slaughter Singer","WG","U","68676","67.8%","55.3%","12185","59.7%"
"Zopandrel, Hunger Dominus","G","M","15382","82.4%","55.2%","2344","57.0%"
"Oxidda Finisher","R","U","37405","34.9%","55.2%","5359","53.3%"
"Charge of the Mites","W","C","220848","81.7%","55.2%","35995","53.5%"
"The Hunter Maze","","C","197931","70.1%","55.2%","34708","55.0%"
"Zealot's Conviction","W","C","108821","39.4%","55.1%","16517","54.5%"
"Resistance Reunited","W","U","37211","37.3%","55.0%","5631","52.6%"
"Tyrranax Rex","G","M","15121","83.4%","55.0%","2309","58.1%"
"Vivisection Evangelist","WB","U","76837","74.1%","55.0%","11805","53.7%"
"Drown in Ichor","B","U","88891","85.6%","55.0%","15303","56.3%"
"Unctus, Grand Metatect","U","R","29858","78.6%","54.9%","5191","59.5%"
"Titanic Growth","G","C","119701","43.4%","54.9%","18191","54.2%"
"Slobad, Iron Goblin","R","R","11611","32.7%","54.9%","1942","53.2%"
"Anoint with Affliction","B","C","248911","85.3%","54.9%","43658","56.7%"
"Ambulatory Edifice","B","U","87240","75.3%","54.9%","15188","57.3%"
"Ichorplate Golem","","U","94221","78.1%","54.9%","16484","54.2%"
"Bilious Skulldweller","B","U","82208","85.5%","54.9%","15143","61.5%"
"Capricious Hellraiser","R","M","13049","71.6%","54.7%","1980","52.6%"
"Sawblade Scamp","R","C","190661","52.9%","54.7%","34149","55.8%"
"Jace, the Perfected Mind","U","M","14749","79.0%","54.7%","2466","58.9%"
"Argentum Masticore","","R","41845","96.7%","54.7%","6791","54.6%"
"Charforger","BR","U","48739","40.3%","54.6%","8324","57.1%"
"Phyrexian Vindicator","W","M","11262","71.7%","54.6%","1854","59.3%"
"Myr Convert","","U","118353","94.9%","54.5%","22557","54.9%"
"Mirrex","","R","26456","90.7%","54.5%","4740","55.2%"
"Ria Ivor, Bane of Bladehold","WB","R","21618","69.3%","54.5%","3584","57.4%"
"Terramorphic Expanse","","C","281522","84.6%","54.5%","51970","55.7%"
"Mirran Bardiche","W","C","113587","38.7%","54.5%","17101","53.2%"
"Ribskiff","","U","53132","56.2%","54.5%","8514","53.4%"
"Zenith Chronicler","","R","21728","59.8%","54.5%","3991","54.7%"
"Stinging Hivemaster","B","C","198049","80.3%","54.4%","34672","56.1%"
"Chrome Prowler","U","C","160892","57.6%","54.4%","27247","53.8%"
