"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Swiftwater Cliffs","","C","9545","56.7%","55.5%","1746","58.1%"
"Ayara, Widow of the Realm","B","R","3132","88.5%","55.5%","535","56.6%"
"Kithkin Billyrider","W","C","5372","46.0%","55.5%","910","52.5%"
"Invasion of Ikoria","G","R","2232","80.4%","55.5%","353",""
"Fynn, the Fangbearer","G","U","5786","83.8%","55.5%","1020","56.0%"
"Coppercoat Vanguard","W","U","5515","72.1%","55.4%","983","57.2%"
"Bloated Processor","B","R","3468","89.1%","55.4%","571","58.7%"
"Invasion of Tolvada","WB","R","3010","76.9%","55.4%","470",""
"Render Inert","B","U","5421","44.3%","55.4%","882","53.3%"
"Alabaster Host Intercessor","W","C","11232","77.7%","55.4%","1879","53.2%"
"Corruption of Towashi","U","U","11633","73.4%","55.4%","1818","55.9%"
"Expedition Lookout","U","C","6800","32.9%","55.4%","1195","54.0%"
"Death-Rattle Oni","B","U","6661","67.3%","55.3%","1018","52.6%"
"Dreg Recycler","B","C","9927","50.9%","55.3%","1684","55.5%"
"Change the Equation","U","U","646","6.6%","55.3%","107",""
"Jin-Gitaxias","U","M","1579","84.6%","55.2%","255",""
"Taigam, Ojutai Master","WU","R","603","38.8%","55.2%","116",""
"Portent Tracker","G","C","13863","82.3%","55.2%","2471","56.6%"
"Animist's Might","G","U","6448","81.9%","55.2%","1011","54.8%"
"Blighted Burgeoning","G","C","15240","79.3%","55.2%","2660","58.6%"
"Cosmic Hunger","G","C","14504","85.4%","55.2%","2328","53.8%"
"Invasion of Pyrulea","UG","U","5067","49.7%","55.1%","830","55.4%"
"Invasion of Ixalan","G","R","2689","82.8%","55.1%","485",""
"Drannith Ruins","","R","2232","76.8%","55.1%","358",""
"Seed of Hope","G","C","3957","24.1%","55.1%","706","55.9%"
"Skittering Surveyor","","C","16503","78.2%","55.1%","3158","54.0%"
"Vanquish the Weak","B","C","15268","83.4%","55.1%","2558","54.8%"
"Gloomfang Mauler","B","C","12430","68.0%","55.1%","2021","52.7%"
"Ezuri, Claw of Progress","UG","M","556","64.7%","55.0%","88",""
"Fearless Skald","R","U","7618","69.3%","55.0%","1143","55.7%"
"Elspeth's Smite","W","U","5598","76.5%","55.0%","990","53.8%"
"Chomping Kavu","G","C","8196","54.1%","55.0%","1300","54.5%"
"Wildwood Escort","G","C","7145","45.4%","55.0%","1039","52.5%"
"Stoke the Flames","R","U","9760","85.9%","55.0%","1586","52.7%"
"Thalia, Guardian of Thraben","W","R","910","63.6%","54.9%","172",""
"Corrupted Conviction","B","C","5105","30.8%","54.9%","832","52.9%"
"Phyrexian Censor","W","U","4162","46.4%","54.9%","667","53.2%"
"Kenrith, the Returned King","W","M","976","97.6%","54.9%","178",""
"Kroxa, Titan of Death's Hunger","BR","M","703","66.0%","54.9%","127",""
"Kor Halberd","W","C","4515","34.5%","54.9%","804","56.1%"
