"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Hidden Courtyard","","C","242616","79.4%","55.5%","42743","56.0%"
"Idol of the Deep King","R","C","242933","72.2%","55.5%","40953","53.6%"
"Quicksand Whirlpool","W","C","201867","68.6%","55.4%","32450","54.1%"
"Caparocti Sunborn","WR","U","102896","72.6%","55.4%","17009","57.1%"
"The Belligerent","UR","R","36015","74.5%","55.3%","6044","56.9%"
"Hidden Nursery","","C","204405","81.1%","55.3%","36296","56.2%"
"Poetic Ingenuity","R","R","38387","83.0%","55.3%","6732","62.7%"
"Jade Seedstones","G","U","80232","61.4%","55.1%","12299","54.2%"
"Explorer's Cache","G","U","59015","51.7%","55.1%","9916","56.7%"
"Starving Revenant","B","R","33118","83.9%","55.1%","5599","58.1%"
"River Herald Guide","G","C","197860","70.5%","54.9%","34970","54.9%"
"Deepfathom Echo","UG","R","31343","71.4%","54.9%","5264","59.5%"
"Nurturing Bristleback","G","C","181899","70.1%","54.9%","30508","53.0%"
"Rumbling Rockslide","R","C","212212","71.3%","54.8%","33586","52.1%"
"Threefold Thunderhulk","","R","42368","94.4%","54.7%","6789","54.5%"
"Malamet War Scribe","W","U","83430","69.0%","54.7%","12628","53.6%"
"Restless Prairie","","R","19539","52.5%","54.7%","3692","57.6%"
"River Herald Scout","U","C","245260","67.9%","54.7%","43253","54.8%"
"Twists and Turns","G","U","82294","61.9%","54.6%","13639","53.0%"
"Tishana's Tidebinder","U","R","35270","82.2%","54.6%","5953","55.2%"
"Rampaging Ceratops","R","U","61629","65.2%","54.6%","9412","53.4%"
"Saheeli, the Sun's Brilliance","UR","M","14600","69.9%","54.6%","2544","53.9%"
"Adaptive Gemguard","W","C","188257","62.7%","54.6%","30431","53.3%"
"Captivating Cave","","C","233348","81.1%","54.5%","41428","54.5%"
"Kutzil, Malamet Exemplar","WG","U","59915","55.1%","54.5%","10243","57.0%"
"Soaring Sandwing","W","C","158092","53.8%","54.5%","26389","52.3%"
"Kutzil's Flanker","W","R","29738","82.3%","54.5%","5115","53.1%"
"Careening Mine Cart","","U","102991","73.1%","54.4%","17726","55.1%"
"Oltec Archaeologists","W","C","81223","27.5%","54.4%","12505","52.3%"
"Enterprising Scallywag","R","U","95118","79.3%","54.4%","17049","54.7%"
"Malamet Scythe","G","C","51921","20.3%","54.3%","8113","53.8%"
"Tithing Blade","B","C","211835","76.5%","54.3%","37195","55.7%"
"Dowsing Device","R","U","88480","56.4%","54.3%","14814","53.1%"
