"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Cauldron Familiar","B","U","4928","56.7%","56.6%","892","60.5%"
"Beanstalk Giant","G","U","8277","84.5%","56.6%","1483","58.3%"
"Yorvo, Lord of Garenbrig","G","R","2999","79.1%","56.6%","520","62.5%"
"Charmed Sleep","U","C","26450","82.6%","56.5%","4461","55.4%"
"Trail of Crumbs","G","U","7530","71.8%","56.5%","1304","54.5%"
"Castle Vantress","","R","3768","79.8%","56.5%","715","58.2%"
"Scalding Cauldron","","C","29208","76.8%","56.4%","5119","55.4%"
"Castle Embereth","","R","2925","74.4%","56.4%","528","54.7%"
"Moonlit Scavengers","U","C","20565","56.8%","56.4%","3283","54.4%"
"Flutterfox","W","C","22443","68.5%","56.4%","3886","58.0%"
"Maraleaf Rider","G","C","21762","72.9%","56.3%","3920","57.3%"
"Inspiring Veteran","WR","U","5683","64.1%","56.3%","1023","59.6%"
"Faerie Guidemother","W","C","23259","76.4%","56.3%","4089","56.1%"
"Once and Future","G","U","4922","50.1%","56.3%","801","51.2%"
"Fervent Champion","R","R","2277","70.8%","56.3%","411",""
"Once Upon a Time","G","R","2814","74.3%","56.3%","535","57.6%"
"Clackbridge Troll","B","R","3274","81.2%","56.2%","566","58.1%"
"Fireborn Knight","WR","U","7280","76.7%","56.2%","1255","55.6%"
"Shepherd of the Flock","W","U","8702","76.5%","56.2%","1540","57.5%"
"Archon of Absolution","W","U","8573","79.0%","56.2%","1555","58.1%"
"Oakhame Adversary","G","U","8715","82.5%","56.1%","1479","58.1%"
"Shambling Suit","","U","6563","55.4%","56.1%","1135","54.6%"
"Golden Egg","","C","33036","84.9%","56.1%","6055","55.9%"
"Jousting Dummy","","C","22459","61.1%","56.1%","4116","54.5%"
"Castle Garenbrig","","R","2057","59.4%","56.1%","372",""
"Rosethorn Acolyte","G","C","23009","83.3%","56.0%","4146","57.1%"
"Bake into a Pie","B","C","25140","84.2%","56.0%","4260","56.1%"
"Witch's Oven","","U","4883","51.4%","56.0%","895","57.4%"
"Emry, Lurker of the Loch","U","R","3649","67.8%","56.0%","601","55.1%"
"Acclaimed Contender","W","R","2970","78.3%","55.9%","498",""
"Savvy Hunter","BG","U","6723","69.5%","55.9%","1201","58.7%"
"Thunderous Snapper","UG","U","7067","59.6%","55.9%","1182","57.1%"
"Ogre Errant","R","C","13085","53.3%","55.9%","2191","56.9%"
"Grumgully, the Generous","RG","U","6062","57.5%","55.9%","1055","58.1%"
"Sorcerer's Broom","","U","7470","56.8%","55.9%","1322","55.3%"
"Insatiable Appetite","G","C","8694","34.0%","55.8%","1409","52.7%"
"Syr Konrad, the Grim","B","U","9350","83.0%","55.8%","1533","57.1%"
"Tuinvale Treefolk","G","C","17699","70.8%","55.8%","2861","52.4%"
"Wishful Merfolk","U","C","14159","41.6%","55.8%","2492","54.3%"
"Raging Redcap","R","C","16742","65.3%","55.8%","2984","54.2%"
"Venerable Knight","W","U","7061","76.3%","55.8%","1238","60.9%"
"All That Glitters","W","U","4645","53.3%","55.8%","816","56.1%"
"Flaxen Intruder","G","U","4822","62.5%","55.8%","807","53.9%"
"Deathless Knight","BG","U","6961","75.4%","55.8%","1160","57.5%"
"Return of the Wildspeaker","G","R","3087","75.2%","55.7%","502","52.4%"
"Dance of the Manse","WU","R","2303","39.8%","55.7%","414",""
"Curious Pair","G","C","17351","69.4%","55.7%","3062","55.4%"
"Trapped in the Tower","W","C","19795","78.7%","55.7%","3404","54.3%"
"Resolute Rider","WB","U","5987","70.9%","55.6%","1039","55.1%"
"Youthful Knight","W","C","19020","77.7%","55.6%","3325","57.7%"
