"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Colossal Plow","","U","12883","63.2%","54.3%","2976","60.6%"
"Berg Strider","U","C","140003","97.9%","54.3%","31398","54.4%"
"Volatile Fjord","","C","78911","98.3%","54.3%","15232","55.7%"
"Woodland Chasm","","C","69515","98.5%","54.2%","13339","56.6%"
"Waking the Trolls","RG","R","19230","97.5%","54.2%","3006","55.7%"
"Provoke the Trolls","R","U","31926","89.2%","54.2%","5625","52.1%"
"Funeral Longboat","","C","22714","53.3%","54.2%","4238","54.6%"
"Blood on the Snow","B","R","17162","97.5%","54.2%","2828","55.7%"
"Snow-Covered Island","","B","105009","97.4%","54.1%","19990","55.5%"
"Snow-Covered Plains","","B","45895","100.0%","54.1%","8374","54.6%"
"Cinderheart Giant","R","C","58269","82.6%","54.1%","9728","51.8%"
"Rimewood Falls","","C","77344","98.7%","54.1%","15125","56.3%"
"Broken Wings","G","C","57202","77.4%","54.0%","9210","52.7%"
"Inga Rune-Eyes","U","U","44570","95.2%","54.0%","8030","53.5%"
"Divine Gambit","W","U","15437","67.6%","53.9%","2606","50.8%"
"Darkbore Pathway","","R","10320","94.2%","53.9%","1923","54.8%"
"Doomskar Oracle","W","C","63337","83.7%","53.9%","14660","53.3%"
"Behold the Multiverse","U","C","139976","97.7%","53.9%","33074","53.5%"
"Rally the Ranks","W","R","8561","90.9%","53.9%","1399","55.3%"
"Snow-Covered Plains","","B","65849","90.0%","53.9%","12099","54.0%"
"Tyrite Sanctum","","R","5072","74.7%","53.8%","792","52.9%"
"Sulfurous Mire","","C","69094","97.7%","53.8%","13075","55.2%"
"Immersturm Skullcairn","","U","21691","79.9%","53.7%","4358","53.8%"
"Disdainful Stroke","U","C","59308","83.0%","53.7%","10534","53.1%"
"Giant's Amulet","U","U","49570","96.3%","53.7%","8750","52.5%"
"Blightstep Pathway","","R","9353","90.7%","53.7%","1728","54.8%"
"The World Tree","","R","17358","96.3%","53.6%","3129","55.0%"
"Axgard Braggart","W","C","50545","78.8%","53.6%","9227","52.7%"
