"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Hornswoggle","U","U","1747","42.3%","53.6%","295",""
"Forerunner of the Coalition","B","U","2707","63.6%","53.4%","456",""
"Relentless Raptor","WR","U","1937","50.6%","53.4%","353",""
"Brazen Freebooter","R","C","4790","40.4%","53.3%","806","55.5%"
"Wayward Swordtooth","G","R","949","71.5%","53.3%","153",""
"Fanatical Firebrand","R","C","7343","58.4%","53.3%","1360","56.8%"
"Azor, the Lawbringer","WU","M","617","67.7%","53.2%","114",""
"See Red","R","U","2269","58.2%","53.2%","356",""
"Stampeding Horncrest","R","C","2584","25.8%","53.1%","384",""
"Mutiny","R","C","4478","46.7%","53.0%","696","54.3%"
"Raptor Companion","W","C","6243","47.5%","53.0%","1112","53.2%"
"River Darter","U","C","2664","21.8%","53.0%","464",""
"Hunt the Weak","G","C","9749","75.0%","52.9%","1564","52.0%"
"Frilled Deathspitter","R","C","5846","63.3%","52.9%","1020","53.1%"
"Kumena's Awakening","U","R","883","59.9%","52.9%","153",""
"Raging Regisaur","RG","U","2609","68.0%","52.7%","456",""
"Highland Lake","","U","2348","47.0%","52.7%","452",""
"Pirate's Pillage","R","U","1818","50.7%","52.7%","305",""
"Ghalta, Primal Hunger","G","R","1078","87.6%","52.7%","181",""
"Protean Raider","UR","R","659","45.4%","52.7%","128",""
"Stone Quarry","","U","2023","44.2%","52.6%","393",""
"Hardy Veteran","G","C","5434","41.3%","52.6%","964","53.6%"
"Sun-Collared Raptor","R","C","3959","41.3%","52.6%","686","52.2%"
"Path of Discovery","G","R","995","77.8%","52.5%","145",""
"Sworn Guardian","U","C","3399","26.0%","52.4%","627","50.6%"
"Traveler's Amulet","","C","6049","45.8%","52.4%","1169","51.2%"
"Imperial Ceratops","W","U","1557","48.0%","52.2%","262",""
"Shake the Foundations","R","U","1157","31.6%","52.1%","197",""
"Atzocan Seer","WG","U","1936","54.6%","52.0%","340",""
"Gruesome Fate","B","C","650","6.2%","51.8%","95",""
"Gleaming Barrier","","C","2088","22.2%","51.3%","379",""
"Thunderherd Migration","G","U","2250","65.9%","51.3%","394",""
"Charging Tuskodon","R","U","1929","65.9%","51.3%","302",""
"Colossal Dreadmaw","G","C","6273","56.3%","51.2%","981","46.9%"
"Foul Orchard","","U","1784","34.1%","51.0%","314",""
"Tilonalli's Crown","R","C","3048","32.9%","50.7%","471",""
"Orazca Raptor","R","C","761","7.8%","50.5%","97",""
"Pitiless Plunderer","B","U","940","27.9%","50.4%","156",""
"Cherished Hatchling","G","U","2344","65.3%","50.3%","409",""
"Overgrown Armasaur","G","C","3976","44.6%","50.2%","596","50.5%"
"Orazca Relic","","C","921","9.4%","50.2%","175",""
"Knight of the Stampede","G","C","4048","46.8%","49.9%","666","49.5%"
"Orazca Frillback","G","C","2274","23.0%","49.2%","369",""
"Tomb Robber","B","R","869","56.3%","49.1%","151",""
"Cacophodon","G","U","984","33.3%","49.0%","152",""
"Slaughter the Strong","W","R","855","58.0%","48.9%","156",""
"Majestic Heliopterus","W","U","1293","39.9%","48.8%","213",""
"Journey to Eternity","BG","R","763","53.9%","48.6%","113",""
"Temple Altisaur","W","R","764","58.5%","48.4%","131",""
"Strider Harness","","C","915","9.0%","48.0%","152",""
"Form of the Dinosaur","R","R","611","43.6%","47.8%","99",""
"Nezahal, Primal Tide","U","R","1026","75.1%","47.5%","154",""
"Silverclad Ferocidons","R","R","534","55.2%","46.8%","79",""
"Siegehorn Ceratops","WG","R","519","51.0%","45.1%","86",""
"Enter the Unknown","G","U","699","28.0%","43.6%","117",""
"Blazing Hope","W","U","132","3.8%","","25",""
"Cleansing Ray","W","C","293","2.8%","","37",""
"Sphinx's Decree","W","R","5","0.3%","","1",""
"Admiral's Order","U","R","458","32.3%","","68",""
"Crafty Cutpurse","U","R","186","15.5%","","29",""
"Flood of Recollection","U","U","176","4.1%","","20",""
"Induced Amnesia","U","R","34","2.2%","","6",""
"Release to the Wind","U","R","148","10.4%","","26",""
"Timestream Navigator","U","M","428","65.5%","","83",""
