"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Graf Harvest","B","U","5915","24.2%","47.2%","1035","45.6%"
"Soul Separator","","U","1453","5.0%","46.9%","200",""
"Stitcher's Apprentice","U","C","3821","21.2%","46.9%","647","47.3%"
"Diregraf Captain","UB","U","5593","50.2%","46.8%","936","47.1%"
"Second Harvest","G","R","589","6.7%","46.5%","85",""
"Magnifying Glass","","C","5636","7.9%","46.5%","941","41.7%"
"Ghoulraiser","B","C","11739","39.3%","46.5%","1902","42.8%"
"Brain in a Jar","","U","1292","4.3%","46.2%","208",""
"Mind's Dilation","U","M","1680","40.9%","46.1%","268",""
"Rise from the Grave","B","U","6976","28.6%","45.9%","1026","39.9%"
"Cryptolith Rite","G","R","1567","21.6%","45.2%","268",""
"Selhoff Occultist","U","C","3120","19.5%","44.3%","544","42.3%"
"Pick the Brain","B","U","570","2.0%","44.2%","90",""
"Invasive Surgery","U","U","688","2.3%","43.3%","111",""
"Sigarda's Aid","W","R","485","5.6%","","81",""
"Splendid Reclamation","G","R","175","1.7%","","34",""
"Avacyn, Angel of Hope","W","M","258","","","34",""
"Séance","W","U","449","7.7%","","61",""
"Garruk Relentless","G","M","414","","","63",""
"Geist of Saint Traft","WU","M","262","","","44",""
"Havengul Lich","UB","M","243","","","29",""
"Huntmaster of the Fells","RG","M","265","","","44",""
"Sigarda, Host of Herons","WG","M","399","","","66",""
"Vessel of Endless Rest","","U","196","11.0%","","36",""
"Snapcaster Mage","U","M","277","","","51",""
"Griselbrand","B","M","183","","","34",""
"Increasing Ambition","B","R","491","13.2%","","74",""
"Balefire Dragon","R","M","246","","","34",""
"Past in Flames","R","M","327","16.1%","","54",""
