"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Borne Upon a Wind","U","R","5299","15.1%","49.5%","877","45.7%"
"Gwaihir the Windlord","WU","U","23223","27.2%","49.5%","3541","47.2%"
"Surrounded by Orcs","U","C","75436","27.7%","49.4%","12217","47.1%"
"Knights of Dol Amroth","U","C","42814","17.7%","49.4%","6781","47.3%"
"Ent-Draught Basin","","U","3541","4.3%","49.4%","541","43.6%"
"Mithril Coat","","R","12220","66.4%","49.3%","1942","45.5%"
"Fangorn, Tree Shepherd","G","R","6397","27.1%","49.3%","890","48.0%"
"Saruman of Many Colors","WUB","M","9103","59.2%","49.2%","1424","46.5%"
"Mirror of Galadriel","","U","11299","14.0%","49.1%","1859","44.3%"
"Brandywine Farmer","G","C","24290","11.6%","48.9%","4186","45.3%"
"Rising of the Day","R","U","3598","4.3%","48.7%","600","45.7%"
"Stone of Erech","","U","1042","1.1%","48.6%","162",""
"Entish Restoration","G","U","21083","28.3%","48.5%","3647","44.5%"
"Long List of the Ents","G","U","6010","7.2%","48.2%","955","53.8%"
"Shortcut to Mushrooms","G","U","16011","23.9%","48.0%","2632","42.0%"
"Shower of Arrows","G","C","8839","4.4%","47.5%","1327","44.5%"
"Last March of the Ents","G","M","2069","18.3%","47.3%","305",""
"Storm of Saruman","U","M","5491","39.0%","47.1%","837","44.8%"
"Legolas, Counter of Kills","UG","U","15116","22.2%","46.9%","2432","44.4%"
"The Watcher in the Water","U","M","2761","22.2%","43.4%","449",""
"Lost Isle Calling","U","R","1930","6.1%","41.6%","332",""
"The Ring Goes South","G","R","1169","3.9%","40.2%","186",""
"Forge Anew","W","R","300","0.9%","","50",""
"Hew the Entwood","R","M","159","0.9%","","17",""
"Sharkey, Tyrant of the Shire","UB","R","441","1.2%","","66",""
"Tom Bombadil","WUBRG","M","197","1.2%","","32",""
