Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR
Circle of the Moon Druid,G,C,72955,58.80%,55.20%,16997,56.20%
Zombie Ogre,B,C,74289,55.60%,55.10%,13807,53.80%
Evolving Wilds,,C,135120,90.50%,55.10%,29719,56.80%
"Xanathar, Guild Kingpin",UB,M,10288,89.20%,55.10%,1700,58.10%
Elturgard Ranger,G,C,74721,54.60%,55.10%,14556,55.10%
Steadfast Paladin,W,C,108093,83.60%,54.90%,29171,58.00%
Temple of the Dragon Queen,,U,56809,87.20%,54.90%,11427,56.70%
Loyal Warhound,W,R,15517,81.80%,54.90%,2876,58.50%
Cave of the Frost Dragon,,R,15140,80.00%,54.80%,2758,57.80%
You Hear Something on Watch,W,C,88417,72.00%,54.80%,20132,55.30%
Veteran Dungeoneer,W,C,78284,65.70%,54.70%,18113,56.20%
Boots of Speed,R,C,66627,42.00%,54.70%,12808,54.00%
White Dragon,W,U,39690,82.40%,54.70%,6742,54.40%
Armory Veteran,R,C,83014,57.30%,54.70%,20291,54.80%
Old Gnawbone,G,M,7780,83.60%,54.60%,1198,55.10%
Xorn,R,R,14514,75.30%,54.60%,2551,52.90%
Lightfoot Rogue,B,U,34228,80.20%,54.60%,6847,55.70%
Underdark Basilisk,G,C,90374,75.10%,54.60%,22588,54.70%
Mordenkainen,U,M,7734,79.50%,54.60%,1220,56.40%
Dueling Rapier,R,C,54393,41.10%,54.50%,10421,54.30%
Death-Priest of Myrkul,B,U,40830,82.50%,54.50%,7511,51.90%
You Meet in a Tavern,G,U,24004,50.30%,54.50%,4040,52.30%
Manticore,B,C,48368,41.80%,54.50%,8705,52.30%
Unexpected Windfall,R,C,50069,36.30%,54.40%,8740,51.10%
Portable Hole,W,U,38479,72.10%,54.40%,7167,53.20%
Celestial Unicorn,W,C,62388,62.80%,54.40%,16613,55.40%
Hand of Vecna,,R,17115,85.70%,54.30%,2990,54.80%
Krydle of Baldur's Gate,UB,U,22164,53.50%,54.30%,4535,57.10%
"Delina, Wild Mage",R,R,17769,89.70%,54.20%,3092,52.70%
Froghemoth,G,R,17108,86.80%,54.20%,2905,53.20%
Hall of Storm Giants,,R,9787,69.10%,54.20%,1803,59.00%
Skeletal Swarming,BG,R,20931,88.70%,54.10%,3539,54.20%
Plate Armor,W,U,50064,82.40%,54.10%,9451,53.80%
Arborea Pegasus,W,C,83801,68.90%,54.10%,18451,53.10%
Ranger's Hawk,W,C,66062,55.70%,54.10%,14876,55.70%
Goblin Javelineer,R,C,38699,33.60%,54.00%,8820,55.80%
Bruenor Battlehammer,WR,U,34220,62.00%,54.00%,7210,56.60%
Purple Worm,G,U,38346,77.40%,54.00%,6284,52.50%
Vorpal Sword,B,R,15073,81.90%,54.00%,2573,53.00%
Dragon Turtle,U,R,10078,71.70%,54.00%,1799,55.40%
Sylvan Shepherd,G,C,54609,53.80%,54.00%,12380,54.50%
Dawnbringer Cleric,W,C,73518,65.50%,54.00%,15971,52.90%
Druid Class,G,U,20489,51.20%,53.90%,3873,53.90%
