"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Stronghold Confessor","B","C","8653","50.2%","51.6%","1625","50.5%"
"Gift of Growth","G","C","5387","32.1%","51.6%","960","49.5%"
"The Flame of Keld","R","U","1785","29.2%","51.6%","296",""
"Arbor Armament","G","C","1591","10.5%","51.5%","252",""
"Fire Elemental","R","C","1784","10.0%","51.4%","300",""
"Guardians of Koilos","","C","4424","24.3%","51.4%","725","46.9%"
"Dread Shade","B","R","1268","58.6%","51.3%","205",""
"Goblin Warchief","R","U","769","12.2%","51.2%","149",""
"Lingering Phantom","B","U","2429","35.8%","51.1%","384",""
"Pardic Wanderer","","C","4806","29.1%","51.1%","762","47.0%"
"Yargle, Glutton of Urborg","B","U","2535","50.6%","50.8%","425",""
"Yawgmoth's Vile Offering","B","R","1479","64.3%","50.6%","218",""
"Rescue","U","C","1604","8.4%","50.6%","267",""
"Llanowar Envoy","G","C","7226","43.7%","50.6%","1414","48.0%"
"Feral Abomination","B","C","3900","24.8%","50.5%","634","46.8%"
"Llanowar Scout","G","C","6107","42.0%","50.4%","1220","51.6%"
"Thorn Elemental","G","U","4242","69.7%","50.4%","631","48.5%"
"Cabal Paladin","B","C","4387","29.7%","50.3%","810","49.3%"
"Board the Weatherlight","W","U","583","10.1%","50.3%","95",""
"Diligent Excavator","U","U","2223","31.5%","50.2%","459",""
"Broken Bond","G","C","1948","13.6%","50.2%","320",""
"Kazarov, Sengir Pureblood","B","R","2509","68.9%","50.1%","381",""
"Marwyn, the Nurturer","G","R","1555","60.6%","50.1%","300",""
"Sylvan Awakening","G","R","1083","56.7%","50.0%","162",""
"Unwind","U","C","1370","8.5%","49.9%","223",""
"Slinn Voda, the Rising Deep","U","U","1444","26.0%","49.8%","217",""
"Chainer's Torment","B","U","2071","40.3%","49.8%","350",""
"Homarid Explorer","U","C","3829","20.2%","49.7%","773","48.1%"
"Nature's Spiral","G","U","2130","34.2%","49.7%","337",""
"Drudge Sentinel","B","C","2329","13.8%","49.6%","376",""
"Rat Colony","B","C","1581","10.5%","49.5%","378",""
"Excavation Elephant","W","C","1545","9.8%","49.1%","272",""
"Navigator's Compass","","C","4281","27.4%","49.1%","777","47.9%"
"Seismic Shift","R","C","561","3.4%","49.0%","87",""
"Skirk Prospector","R","C","799","5.3%","48.8%","162",""
"Amaranthine Wall","","U","793","17.2%","48.8%","116",""
"Mishra's Self-Replicator","","R","1624","66.7%","48.6%","259",""
"Gaea's Blessing","G","U","806","14.2%","48.6%","143",""
"Memorial to War","","U","889","12.1%","48.6%","169",""
"Sage of Lat-Nam","U","U","628","8.6%","48.6%","128",""
"Gaea's Protector","G","C","1820","12.0%","48.2%","292",""
"Demonic Vigor","B","C","1439","11.0%","48.2%","222",""
"Final Parting","B","U","512","8.5%","47.9%","75",""
"Powerstone Shard","","C","1933","15.1%","47.7%","427",""
"The Antiquities War","U","R","521","21.7%","47.4%","102",""
"Pierce the Sky","G","C","1224","8.1%","47.3%","199",""
"Curator's Ward","U","U","581","9.9%","46.8%","82",""
"Blessing of Belzenlok","B","C","899","5.7%","46.3%","148",""
"Fall of the Thran","W","R","116","5.7%","","13",""
"Healing Grace","W","C","334","2.5%","","56",""
"Precognition Field","U","R","451","17.3%","","79",""
"Lich's Mastery","B","R","196","8.6%","","25",""
"The First Eruption","R","R","368","18.2%","","70",""
"Orcish Vandal","R","U","401","6.1%","","64",""
"Kamahl's Druidic Vow","G","R","133","8.3%","","28",""
"Oath of Teferi","WU","R","49","2.1%","","8",""
"Primevals' Glorious Rebirth","WB","R","291","13.8%","","48",""
"Damping Sphere","","U","28","0.4%","","7",""
"Mox Amber","","M","116","14.6%","","22",""
"Thran Temporal Gateway","","R","207","12.2%","","32",""
"Cabal Stronghold","","R","372","16.8%","","64",""
