"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Sticky Fingers","R","C","98338","48.6%","51.7%","15934","53.4%"
"Wiretapping","U","R","22938","75.9%","51.6%","3781","50.3%"
"Cutthroat Contender","B","C","60477","24.4%","51.6%","10609","52.1%"
"Security Rhox","RG","U","37104","68.1%","51.5%","6167","51.7%"
"Ognis, the Dragon's Lash","BRG","R","18427","80.7%","51.5%","3123","51.9%"
"Crew Captain","BRG","U","21295","36.5%","51.5%","3512","52.8%"
"Lord Xander, the Collector","UBR","M","10526","73.1%","51.3%","1663","47.7%"
"Angel of Suffering","B","M","11018","76.9%","51.2%","1764","47.4%"
"Big Score","R","C","63488","32.6%","51.1%","10327","48.8%"
"Pyre-Sledge Arsonist","R","U","56888","58.9%","51.0%","9641","49.9%"
"Glittermonger","G","C","77254","40.0%","51.0%","12821","49.3%"
"Brass Knuckles","","U","6018","7.4%","50.9%","929","48.1%"
"Mr. Orfeo, the Boulder","BRG","U","36419","59.5%","50.9%","5892","51.1%"
"Daring Escape","R","C","11185","5.3%","50.9%","1694","49.4%"
"Demon's Due","B","C","27460","12.6%","50.9%","4290","47.6%"
"Public Enemy","U","U","2430","2.6%","50.8%","366",""
"Goldhound","R","C","94745","51.4%","50.8%","16789","51.0%"
"Cement Shoes","","U","2614","2.8%","50.8%","414",""
"Midnight Assassin","B","C","94876","51.6%","50.7%","16252","48.5%"
"Tavern Swindler","B","U","15743","17.2%","50.6%","2795","48.8%"
"Most Wanted","G","C","19006","10.4%","50.5%","3037","48.7%"
"Ready to Rumble","R","C","46922","23.8%","50.5%","7201","48.0%"
"Masked Bandits","BRG","C","82850","43.7%","50.5%","14394","47.9%"
"An Offer You Can't Refuse","U","U","2946","3.4%","50.3%","458",""
"Incandescent Aria","WRG","R","10124","43.4%","50.2%","1734","48.8%"
"Suspicious Bookcase","","U","9022","11.2%","50.2%","1558","46.1%"
"Extract the Truth","B","C","13233","6.6%","50.1%","2215","50.3%"
"Join the Maestros","B","C","60949","28.0%","50.1%","9449","48.0%"
"Cabaretti Ascendancy","WRG","R","16617","63.6%","50.1%","2929","49.0%"
"Maestros Ascendancy","UBR","R","5398","18.8%","50.1%","816","43.4%"
"Shadow of Mortality","B","R","8766","40.4%","49.7%","1383","47.9%"
"Devilish Valet","R","R","9249","53.3%","49.7%","1571","48.1%"
"Stimulus Package","RG","U","27919","46.5%","49.5%","4676","46.9%"
"Jackhammer","R","C","3256","1.5%","49.4%","531","43.7%"
"Rob the Archives","R","U","9586","11.8%","48.9%","1562","43.3%"
"Arcane Bombardment","R","M","5250","39.9%","48.8%","844","44.9%"
"Structural Assault","R","R","700","2.3%","48.7%","93",""
"Hoard Hauler","R","R","3385","18.9%","48.6%","556","51.3%"
"Incriminate","B","C","11553","6.6%","48.2%","1817","44.3%"
"Arc Spitter","","U","3957","4.7%","48.1%","632","44.0%"
"Obscura Ascendancy","WUB","R","6314","24.6%","47.6%","1087","48.1%"
"Cut of the Profits","B","R","3499","15.2%","47.5%","559","45.1%"
"Errant, Street Artist","U","R","2493","9.5%","47.1%","413",""
"Vampire Scrivener","B","U","11833","18.9%","46.4%","1870","42.9%"
"Glittering Stockpile","R","U","4288","5.5%","45.6%","751","44.2%"
"Riveteers Ascendancy","BRG","R","5750","23.1%","45.5%","928","39.9%"
"Bootleggers' Stash","G","M","2584","24.5%","44.8%","384",""
"Cut Your Losses","U","R","1581","6.4%","44.5%","214",""
"Illicit Shipment","B","U","814","0.9%","44.5%","109",""
"Widespread Thieving","R","R","2206","8.2%","44.3%","387",""
"Cemetery Tampering","B","R","823","2.8%","42.6%","133",""
"Evolving Door","G","R","360","1.2%","","67",""
"Meeting of the Five","WUBRG","M","260","1.6%","","37",""
"Luxior, Giada's Gift","","M","495","5.7%","","76",""
"A-Case the Joint","U","C","451","19.7%","","65",""
"A-Public Enemy","U","U","53","7.9%","","6",""
"A-Demon's Due","B","C","482","22.5%","","89",""
"A-Graveyard Shift","B","U","494","56.9%","","72",""
"A-Incriminate","B","C","410","26.2%","","84",""
"A-Vampire Scrivener","B","U","163","","","25",""
"A-Jackhammer","R","C","22","1.4%","","1",""
"A-Pyre-Sledge Arsonist","R","U","425","48.4%","","76",""
"A-Ready to Rumble","R","C","459","25.2%","","81",""
"A-Sizzling Soloist","R","U","291","47.4%","","54",""
"A-Capenna Express","G","C","160","13.4%","","29",""
"A-High-Rise Sawjack","G","C","411","28.4%","","60",""
"A-Most Wanted","G","C","280","21.7%","","40",""
"A-Social Climber","G","C","451","36.3%","","87",""
"A-Cabaretti Charm","WRG","U","347","51.4%","","53",""
"A-Mr. Orfeo, the Boulder","BRG","U","370","62.5%","","68",""
"A-Security Rhox","RG","U","265","","","42",""
"A-Stimulus Package","RG","U","268","","","45",""
"A-Paragon of Modernity","","C","473","31.5%","","82",""
"A-Knockout Blow","W","U","0","","","0",""
