"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Aspect of Lamprey","B","C","6519","46.5%","55.4%","999","56.1%"
"Discordant Piper","B","C","10767","67.7%","55.4%","1831","57.1%"
"Hero of the Pride","W","C","11746","75.6%","55.4%","2086","58.5%"
"Siona, Captain of the Pyleas","WG","U","2032","52.3%","55.4%","384",""
"Agonizing Remorse","B","U","3969","67.0%","55.4%","701","57.2%"
"Bronzehide Lion","WG","R","1005","59.3%","55.3%","183",""
"Sunmane Pegasus","W","C","10393","75.3%","55.3%","1759","54.0%"
"Destiny Spinner","G","U","4115","87.0%","55.3%","742","57.5%"
"Hyrax Tower Scout","G","C","4352","36.3%","55.3%","802","58.4%"
"Glimpse of Freedom","U","U","1543","31.5%","55.3%","251",""
"Return to Nature","G","C","6941","56.7%","55.3%","1190","54.0%"
"Eidolon of Philosophy","U","C","4406","35.7%","55.2%","772","54.7%"
"Skophos Warleader","R","C","6758","44.6%","55.2%","1054","52.3%"
"One with the Stars","U","U","3752","67.3%","55.2%","549","54.5%"
"Incendiary Oracle","R","C","12456","72.8%","55.1%","2212","56.0%"
"Wavebreak Hippocamp","U","R","2014","82.7%","55.1%","345",""
"Lagonna-Band Storyteller","W","U","3935","77.2%","55.1%","631","55.9%"
"Nylea's Huntmaster","G","C","6154","50.0%","55.1%","1006","53.0%"
"Moss Viper","G","C","5674","58.7%","55.1%","1003","53.8%"
"Nexus Wardens","G","C","4419","43.7%","55.1%","754","52.4%"
"Phalanx Tactics","W","U","1998","46.3%","55.1%","315",""
"Hero of the Nyxborn","WR","U","3319","60.1%","55.0%","606","55.9%"
"Stern Dismissal","U","C","4952","39.6%","55.0%","822","53.6%"
"Sentinel's Eyes","W","C","10449","76.1%","55.0%","1767","53.4%"
"Setessan Training","G","C","9160","71.8%","55.0%","1525","54.1%"
"Scavenging Harpy","B","C","10268","67.9%","54.9%","1787","51.8%"
"Underworld Rage-Hound","R","C","11480","74.4%","54.9%","2047","55.5%"
"Omen of the Forge","R","C","12629","80.8%","54.9%","2198","54.6%"
"Eidolon of Obstruction","W","R","1686","81.0%","54.9%","310",""
"Mystic Repeal","G","U","3753","70.1%","54.9%","631","54.4%"
"Traveler's Amulet","","C","10367","55.1%","54.8%","1926","54.4%"
"Revoke Existence","W","C","5508","47.9%","54.8%","921","53.6%"
"Eat to Extinction","B","R","2081","88.7%","54.7%","345",""
"Nyxborn Marauder","B","C","4404","32.8%","54.6%","681","51.1%"
"Purphoros's Intervention","R","R","1861","81.3%","54.6%","301",""
"Dreamstalker Manticore","R","U","3456","72.3%","54.6%","609","54.8%"
"Storm Herald","R","R","1375","66.7%","54.5%","238",""
"Inevitable End","B","U","4337","76.5%","54.5%","753","55.4%"
"Sleep of the Dead","U","C","1779","13.7%","54.4%","307",""
"Portent of Betrayal","R","C","5526","37.6%","54.4%","881","50.6%"
"Temple of Plenty","","R","1106","59.4%","54.3%","195",""
"Witness of Tomorrows","U","C","10948","73.9%","54.3%","1780","52.6%"
"Temple Thief","B","C","5326","37.9%","54.3%","978","56.2%"
"Blood Aspirant","R","U","3367","66.1%","54.3%","562","53.0%"
"Callaphe, Beloved of the Sea","U","U","3353","74.9%","54.3%","549","52.6%"
"Final Flare","R","C","5518","39.6%","54.2%","944","52.0%"
"Thassa's Intervention","U","R","1715","79.9%","54.2%","278",""
"Starlit Mantle","U","C","8300","58.3%","54.2%","1349","53.5%"
"Oread of Mountain's Blaze","R","C","3874","29.1%","54.1%","675","50.4%"
"Dawn Evangel","W","U","3032","70.8%","54.1%","493",""
"Renata, Called to the Hunt","G","U","3996","88.5%","54.1%","631","56.4%"
"Wolfwillow Haven","G","U","2894","67.4%","54.0%","490",""
"Aspect of Manticore","R","C","4774","38.0%","54.0%","748","54.4%"
"Temple of Abandon","","R","1064","51.2%","54.0%","209",""
"Gallia of the Endless Dance","RG","R","687","47.7%","54.0%","98",""
"Glory Bearers","W","C","4889","41.6%","54.0%","799","51.2%"
"Mischievous Chimera","UR","U","2379","45.1%","54.0%","392",""
"Treacherous Blessing","B","R","1084","51.1%","54.0%","191",""
"Shimmerwing Chimera","U","U","5290","84.2%","53.9%","864","55.1%"
"Nylea's Forerunner","G","C","8128","73.4%","53.9%","1282","52.1%"
"Storm's Wrath","R","R","1339","67.9%","53.8%","194",""
