"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Instrument of the Bards","G","R","2634","20.6%","49.7%","435",""
"Bag of Holding","","U","7144","16.1%","49.6%","1342","43.7%"
"Kick in the Door","R","C","5425","5.0%","49.4%","1016","46.8%"
"Minion of the Mighty","R","R","668","4.5%","49.3%","120",""
"Silver Raven","U","C","7252","9.9%","49.2%","1660","50.7%"
"Circle of Dreams Druid","G","R","2042","17.8%","49.1%","355",""
"Power of Persuasion","U","U","6477","18.8%","49.1%","1229","48.6%"
"Divine Smite","W","U","2347","5.9%","49.0%","376",""
"Flumph","W","R","2387","15.9%","49.0%","436",""
"Rogue Class","UB","R","5537","40.9%","48.9%","905","41.7%"
"Mimic","","C","3947","4.5%","48.6%","770","45.7%"
"Plummet","G","C","2216","2.1%","48.4%","371",""
"Hama Pashar, Ruin Seeker","WU","U","12238","32.8%","48.4%","2490","44.4%"
"Monk Class","WU","R","4147","28.1%","47.5%","772","45.9%"
"Sudden Insight","U","U","1495","3.4%","47.3%","218",""
"Treasure Chest","","R","3450","37.8%","47.2%","543","38.9%"
"Dungeon Descent","","R","772","4.7%","46.9%","157",""
"Mordenkainen's Polymorph","U","C","1348","1.5%","45.9%","217",""
"Tasha's Hideous Laughter","U","R","1566","16.3%","45.7%","302",""
"The Blackstaff of Waterdeep","U","R","1493","10.7%","45.6%","271",""
"True Polymorph","U","R","1473","11.5%","45.3%","208",""
"The Book of Vile Darkness","B","M","278","4.7%","","45",""
"Wish","R","R","314","1.7%","","43",""
"Bard Class","RG","R","92","0.6%","","13",""
"Sorcerer Class","UR","R","421","2.8%","","82",""
