"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Cloaked Cadet","G","U","1166","46.0%","55.1%","194",""
"Gryffwing Cavalry","W","U","1473","67.6%","55.1%","274",""
"Dreamroot Cascade","","R","1127","45.0%","55.0%","218",""
"Unruly Mob","W","C","2067","32.2%","55.0%","401",""
"Investigator's Journal","","R","1617","68.5%","55.0%","278",""
"Gutter Skulker","U","U","2824","59.2%","55.0%","483",""
"Toxic Scorpion","G","C","4015","50.2%","54.9%","737","51.3%"
"Stormrider Spirit","U","C","2485","21.9%","54.9%","385",""
"Sanguine Statuette","R","U","676","20.2%","54.9%","122",""
"Can't Stay Away","WB","R","1032","40.4%","54.8%","163",""
"Ceremonial Knife","","C","5134","39.1%","54.8%","855","51.1%"
"Pack's Betrayal","R","C","853","10.4%","54.7%","146",""
"Skywarp Skaab","U","C","2571","25.5%","54.7%","421",""
"Necroduality","U","M","881","54.1%","54.7%","120",""
"Morkrut Behemoth","B","C","2727","37.6%","54.7%","449",""
"Vadrik, Astral Archmage","UR","R","1423","45.8%","54.7%","259",""
"Lightning Wolf","R","C","765","9.8%","54.6%","113",""
"Curse of Surveillance","U","R","1719","52.4%","54.6%","304",""
"Abandon the Post","R","C","1911","18.5%","54.5%","307",""
"Ragged Recluse","B","C","5194","42.8%","54.5%","1015","54.6%"
"Crushing Canopy","G","C","747","9.3%","54.5%","107",""
"Candlelit Cavalry","G","C","2491","30.0%","54.5%","429",""
"Rural Recruit","G","C","1480","19.8%","54.5%","273",""
"Ancient Lumberknot","BG","U","1067","32.9%","54.5%","201",""
"Soulcipher Board","U","U","810","18.5%","54.4%","146",""
"Unholy Officiant","W","C","689","10.3%","54.4%","128",""
"Magma Pummeler","R","U","945","39.1%","54.4%","154",""
"Aim for the Head","B","C","664","7.8%","54.4%","114",""
"Moldgraf Millipede","G","C","2007","22.8%","54.4%","371",""
"Locked in the Cemetery","U","C","4043","43.6%","54.3%","722","51.9%"
"Wanderlight Spirit","U","C","1619","18.9%","54.3%","287",""
"Nature's Embrace","G","C","827","11.8%","54.3%","164",""
"Vampire's Kiss","B","C","923","12.0%","54.3%","174",""
"Weary Prisoner","R","C","853","12.2%","54.3%","144",""
"Village Watch","R","U","1327","40.0%","54.3%","227",""
"Nebelgast Beguiler","W","C","866","9.6%","54.2%","142",""
"Bloodsworn Squire","B","U","723","28.2%","54.1%","118",""
"Vivisection","U","U","1008","27.0%","54.1%","147",""
"Dryad's Revival","G","U","1407","40.5%","54.0%","241",""
"Tireless Hauler","G","C","3523","47.5%","54.0%","605","53.1%"
"Slaughter Specialist","B","R","1809","85.2%","53.8%","340",""
"Path to the Festival","G","C","2074","27.1%","53.8%","389",""
"Honored Heirloom","","C","2901","30.5%","53.8%","547","48.6%"
"Witness the Future","U","U","1529","34.5%","53.6%","250",""
"Arcane Infusion","UR","U","864","20.1%","53.6%","161",""
"Howl of the Hunt","G","C","1243","19.8%","53.6%","222",""
"Celestus Sanctifier","W","C","1246","16.0%","53.5%","223",""
"Purifying Dragon","R","U","1729","63.9%","53.5%","309",""
"Ritual Guardian","W","C","1637","20.9%","53.5%","273",""
"Spiked Ripsaw","G","U","1324","36.0%","53.3%","197",""
"Innocent Traveler","B","U","2000","60.0%","53.3%","366",""
"Grizzly Ghoul","BG","U","817","30.6%","53.2%","145",""
"Sawblade Slinger","G","U","1452","47.1%","53.1%","249",""
